base_model_run_id,candidate_model_run_id,fixed_images,broken_images,improved_images,regressed_images,delta_tp,delta_fp,delta_fn,delta_precision,delta_recall,delta_f1,delta_ap
showcase-a,showcase-b,7,10,1,5,8,26,-8,-0.20964360587002095,0.09195402298850575,-0.05891745690357475,-0.05300000000000005
showcase-a,showcase-c,11,3,2,2,6,-8,-6,0.11111111111111116,0.06896551724137934,0.08668829868204941,0.08799999999999997
showcase-b,showcase-a,10,7,5,1,-8,-26,8,0.20964360587002095,-0.09195402298850575,0.05891745690357475,0.05300000000000005
showcase-b,showcase-c,16,5,3,0,-2,-34,2,0.3207547169811321,-0.02298850574712641,0.14560575558562416,0.14100000000000001
showcase-c,showcase-a,3,11,2,2,-6,8,6,-0.11111111111111116,-0.06896551724137934,-0.08668829868204941,-0.08799999999999997
showcase-c,showcase-b,5,16,0,3,2,34,-2,-0.3207547169811321,0.02298850574712641,-0.14560575558562416,-0.14100000000000001
